time,x,y
2.416483296659331703e+00,7.886275942711732156e+00,4.458138712390743663e+00
2.432486497299459760e+00,7.946225006023280635e+00,4.435186156303172034e+00
2.448489697939587817e+00,8.006594763164482487e+00,4.208906069898564084e+00
2.464492898579715874e+00,8.103180143623839982e+00,4.078560214935489370e+00
2.480496099219843931e+00,8.179208029597011986e+00,3.865144221428786331e+00
2.496499299859971988e+00,8.351222371961394941e+00,3.675558674324656661e+00
2.512502500500100044e+00,8.443791691231062657e+00,3.593707656898848857e+00
2.528505701140228101e+00,8.459729684942924877e+00,3.435343576201430604e+00
2.544508901780356158e+00,8.566587670912106489e+00,3.358939018438233948e+00
2.560512102420484215e+00,8.747461675566203354e+00,3.182509279741706276e+00
2.576515303060612272e+00,8.797158563625309569e+00,3.119918815423364578e+00
2.592518503700740329e+00,9.026956674871630781e+00,3.002483450005076548e+00
2.608521704340868386e+00,9.131333632581632997e+00,2.901149339772886915e+00
2.624524904980995998e+00,9.249533223479906141e+00,2.825206931912768393e+00
2.640528105621124055e+00,9.400908218976068653e+00,2.691796270190423002e+00
2.656531306261252112e+00,9.562684049256857222e+00,2.690680491838295385e+00
2.672534506901380169e+00,9.696795709600968038e+00,2.627153458461581881e+00
2.688537707541508226e+00,9.847301318670783843e+00,2.539389633179214734e+00
2.704540908181636283e+00,1.004708889032942309e+01,2.463339668457464438e+00
2.720544108821764340e+00,1.009584624973623690e+01,2.522279056438716083e+00
2.736547309461892397e+00,1.038485022652850276e+01,2.492726300848777221e+00
2.752550510102020453e+00,1.046682213436789333e+01,2.382137312274774654e+00
2.768553710742148510e+00,1.064065028170464089e+01,2.433156746538423398e+00
2.784556911382276567e+00,1.090909287827245500e+01,2.452179815682525188e+00
2.800560112022404624e+00,1.092566772916880957e+01,2.515515807033767537e+00
2.816563312662532681e+00,1.116297649023986693e+01,2.369543908928422038e+00
2.832566513302660738e+00,1.143994190451370052e+01,2.416704180166016069e+00
2.848569713942788351e+00,1.153397769961175001e+01,2.442283525305940284e+00
2.864572914582916408e+00,1.178319656612565680e+01,2.499828859110418744e+00
2.880576115223044464e+00,1.186301577185808753e+01,2.575806887868555162e+00
2.896579315863172521e+00,1.217190119447548469e+01,2.489836045616439453e+00
2.912582516503300578e+00,1.227808021509380509e+01,2.500796724958830541e+00
2.928585717143428635e+00,1.252100680956362311e+01,2.565237795147750077e+00
2.944588917783556692e+00,1.267343987044119302e+01,2.694994872061948321e+00
2.960592118423684749e+00,1.292731102605995908e+01,2.700455173104396422e+00
2.976595319063812806e+00,1.314326987586284723e+01,2.863883553430710549e+00
2.992598519703940863e+00,1.324888318245148611e+01,2.850950807305340007e+00
3.008601720344068919e+00,1.354682106749470805e+01,3.013702398869776644e+00
3.024604920984196976e+00,1.370553182054465324e+01,3.144413525772221440e+00
3.040608121624325033e+00,1.383203426836788452e+01,3.133725927042979809e+00
3.056611322264453090e+00,1.403233564840779657e+01,3.349116176551718116e+00
3.072614522904580703e+00,1.422117043035462913e+01,3.469024921299320496e+00
3.088617723544708760e+00,1.439266211118136063e+01,3.629141918376644238e+00
3.104620924184836817e+00,1.456565344216192948e+01,3.863098539802848119e+00
3.120624124824964873e+00,1.482297472926881277e+01,4.024559781722189200e+00
3.136627325465092930e+00,1.493177037448205269e+01,4.244287425529782887e+00
3.152630526105220987e+00,1.511777630056611876e+01,4.525128896569229120e+00
3.168633726745349044e+00,1.530869709494839270e+01,4.737546753929569476e+00
3.184636927385477101e+00,1.537202212892132103e+01,5.112209287286994197e+00
3.200640128025605158e+00,1.544628148465132966e+01,5.444623148404716950e+00
3.216643328665733215e+00,1.548659249520805758e+01,5.876180191345402370e+00
3.232646529305861272e+00,1.556770914823776941e+01,6.201828753388832993e+00
3.248649729945989328e+00,1.563537102116000099e+01,6.630990329944808082e+00
3.264652930586117385e+00,1.570736825682637949e+01,7.031850839780491746e+00
3.280656131226245442e+00,1.574127511251862011e+01,7.562743759888662431e+00
3.296659331866373499e+00,1.570964804077398647e+01,7.876263710972962073e+00
3.312662532506501112e+00,1.564831341125907116e+01,8.582992209434269881e+00
3.328665733146629169e+00,1.559680036686012805e+01,9.192004101513120418e+00
3.344668933786757226e+00,1.557256881104377477e+01,9.753556588066615518e+00
3.360672134426885282e+00,1.532015647537000724e+01,1.046099111840896789e+01
3.376675335067013339e+00,1.529138319906778243e+01,1.102591886565875434e+01
3.392678535707141396e+00,1.515496481515766369e+01,1.168431871819488599e+01
3.408681736347269453e+00,1.477576761378091774e+01,1.235824746890720682e+01
3.424684936987397510e+00,1.464206526529125085e+01,1.297717020148748368e+01
3.440688137627525567e+00,1.441594438258512234e+01,1.362054246206787589e+01
3.456691338267653624e+00,1.407347805839727783e+01,1.430657584492540657e+01
3.472694538907781681e+00,1.370535879705376026e+01,1.490947188046656890e+01
3.488697739547909737e+00,1.330832944144608199e+01,1.545141286693334060e+01
3.504700940188037794e+00,1.303664682335406511e+01,1.582709504063055128e+01
3.520704140828165851e+00,1.272366390174904893e+01,1.631202918284578729e+01
3.536707341468293464e+00,1.236485882850728224e+01,1.669066077669552328e+01
3.552710542108421521e+00,1.201857330829387038e+01,1.690740700043368605e+01
3.568713742748549578e+00,1.157812022781372185e+01,1.701763002288833704e+01
3.584716943388677635e+00,1.128065461683011605e+01,1.709444370664000346e+01
3.600720144028805692e+00,1.092590390177317339e+01,1.711310239458570592e+01
3.616723344668933748e+00,1.062564755455506571e+01,1.699846622025886234e+01
3.632726545309061805e+00,1.025488979644818599e+01,1.679372872190001331e+01
3.648729745949189862e+00,9.932980017457447630e+00,1.665293387288787130e+01
3.664732946589317919e+00,9.692532753131894552e+00,1.633087659117521895e+01
3.680736147229445976e+00,9.368154247128064327e+00,1.583551988433721114e+01
3.696739347869574033e+00,9.135266719034797589e+00,1.558153020239639197e+01
3.712742548509702090e+00,9.014498180148557083e+00,1.509168619271753897e+01
3.728745749149830147e+00,8.713039164653425317e+00,1.458668273032109042e+01
3.744748949789958203e+00,8.548769311994433906e+00,1.406915661262962303e+01
3.760752150430085816e+00,8.266890740765386880e+00,1.351900510892996898e+01
3.776755351070213873e+00,8.228660231738629705e+00,1.310216927747202575e+01
3.792758551710341930e+00,8.108903895735187106e+00,1.255573055947099981e+01
3.808761752350469987e+00,7.959850008471352822e+00,1.193250774579079199e+01
3.824764952990598044e+00,7.678433671339235822e+00,1.143240437608188032e+01
3.840768153630726101e+00,7.809101934268182887e+00,1.097001268018117948e+01
3.856771354270854157e+00,7.679564085230178527e+00,1.037083821040997123e+01
3.872774554910982214e+00,7.604007406314780226e+00,9.805996102198321296e+00
3.888777755551110271e+00,7.551704563518505608e+00,9.362733604401544341e+00
3.904780956191238328e+00,7.615369458272003733e+00,8.913385837113517951e+00
3.920784156831366385e+00,7.479840441423594832e+00,8.472899306846844780e+00
3.936787357471494442e+00,7.512682650199123735e+00,8.004351853962354824e+00
3.952790558111622499e+00,7.551042377575932996e+00,7.536072230024155161e+00
3.968793758751750556e+00,7.484756538850529495e+00,7.276379695270589032e+00
3.984796959391878168e+00,7.439125499265816011e+00,6.894098357393001919e+00
4.000800160032006225e+00,7.589916916345625708e+00,6.551641182604839742e+00
4.016803360672134282e+00,7.468184118375552849e+00,6.165074789935435007e+00
4.032806561312262339e+00,7.649537749254371022e+00,5.908011871599263110e+00
4.048809761952390396e+00,7.630119422007555663e+00,5.625243412356882189e+00
4.064812962592518453e+00,7.716493951734699763e+00,5.295659879118094437e+00
4.080816163232646510e+00,7.722598778193889402e+00,5.083233716936692126e+00
4.096819363872774566e+00,7.773180687704332570e+00,4.830795461643039523e+00
4.112822564512902623e+00,7.934870870758036432e+00,4.566091720190411429e+00
4.128825765153030680e+00,8.042022942416256370e+00,4.500358957499714485e+00
4.144828965793158737e+00,7.941634371365146272e+00,4.205412117226205559e+00
4.160832166433286794e+00,8.131764452130713750e+00,3.993936884196707116e+00
4.176835367073414851e+00,8.170420649294793947e+00,3.852376129994431686e+00
4.192838567713542908e+00,8.342625091877815535e+00,3.683024648048471850e+00
4.208841768353670965e+00,8.500377283536645123e+00,3.578870500634530494e+00
4.224844968993799021e+00,8.512329659933929094e+00,3.503443412174217286e+00
4.240848169633927078e+00,8.662104623728103192e+00,3.326313091379240472e+00
4.256851370274055135e+00,8.732389943571758906e+00,3.285153564789836000e+00
4.272854570914183192e+00,8.912434306760522063e+00,3.080145780573823711e+00
4.288857771554311249e+00,8.920478512716707442e+00,3.013616998952573844e+00
4.304860972194439306e+00,9.074142887224798670e+00,2.822196332583601031e+00
4.320864172834567363e+00,9.253760885828388183e+00,2.843080166597741876e+00
4.336867373474694531e+00,9.472530696836683362e+00,2.771785266353018695e+00
4.352870574114822588e+00,9.593598880209095014e+00,2.632358454043199902e+00
4.368873774754950645e+00,9.701169448717100963e+00,2.642913947491619453e+00
4.384876975395078702e+00,9.898416509259456930e+00,2.592381216237636288e+00
4.400880176035206759e+00,1.005242747575051254e+01,2.517866185194131301e+00
4.416883376675334816e+00,1.019084964487775125e+01,2.526775806417286940e+00
4.432886577315462873e+00,1.027489342926596727e+01,2.484095566927482679e+00
4.448889777955590930e+00,1.048938250440659559e+01,2.355638207853413935e+00
4.464892978595718986e+00,1.072480495752533969e+01,2.414456599638059142e+00
4.480896179235847043e+00,1.080908143753280370e+01,2.401556642917225926e+00
4.496899379875975100e+00,1.103661345646891156e+01,2.489878966254368997e+00
4.512902580516103157e+00,1.120243420486427510e+01,2.438415351098210504e+00
4.528905781156231214e+00,1.146328350760737713e+01,2.448138934702570602e+00
4.544908981796359271e+00,1.163455426057116071e+01,2.410805918357596500e+00
4.560912182436487328e+00,1.180862738820382063e+01,2.451601440164385082e+00
4.576915383076615385e+00,1.201492681952865560e+01,2.431134719617690454e+00
4.592918583716743441e+00,1.211527058285555292e+01,2.578803103181385392e+00
4.608921784356871498e+00,1.233909682781080264e+01,2.539068248953515461e+00
4.624924984996999555e+00,1.254871089968074394e+01,2.572202901733483760e+00
4.640928185637127612e+00,1.280827446579549189e+01,2.602374909229617561e+00
4.656931386277255669e+00,1.293151084704893528e+01,2.749381249520105541e+00
4.672934586917383726e+00,1.313125013138349395e+01,2.768782974575907829e+00
4.688937787557511783e+00,1.328998335848496914e+01,2.917410265491389598e+00
4.704940988197639840e+00,1.347771631046782836e+01,3.026872718516361971e+00
4.720944188837767896e+00,1.364715036926178726e+01,3.077289998955044847e+00
4.736947389477895953e+00,1.391688253365114747e+01,3.165943260358027533e+00
4.752950590118024010e+00,1.413620086543071253e+01,3.365244402835296356e+00
4.768953790758152067e+00,1.423628984496374983e+01,3.443139391125038529e+00
4.784956991398279236e+00,1.438929850675990529e+01,3.691134384292126480e+00
4.800960192038407293e+00,1.458313208830223040e+01,3.807829535612459182e+00
4.816963392678535349e+00,1.479552603076665918e+01,4.196942652881666014e+00
4.832966593318663406e+00,1.497849210331602343e+01,4.349316680020642423e+00
4.848969793958791463e+00,1.512278307602117522e+01,4.601213287766371174e+00
4.864972994598919520e+00,1.518102238712926777e+01,4.815952051168395975e+00
4.880976195239047577e+00,1.538417934764212980e+01,5.138256531089619550e+00
4.896979395879175634e+00,1.546968874498664626e+01,5.435499693069670180e+00
4.912982596519303691e+00,1.555806871068004860e+01,5.789300731596207505e+00
4.928985797159431748e+00,1.552336315975753145e+01,6.158519864759435691e+00
4.944988997799559804e+00,1.572170005959034000e+01,6.718538194304580990e+00
4.960992198439687861e+00,1.582028801630984560e+01,7.100995342336365646e+00
4.976995399079815918e+00,1.578246005392995777e+01,7.630419542271580369e+00
4.992998599719943975e+00,1.568616292033240889e+01,8.022119848310586221e+00
5.009001800360072032e+00,1.567849710111708816e+01,8.573014321960286566e+00
5.025005001000200089e+00,1.558881404092806555e+01,9.275786728953518079e+00
5.041008201640328146e+00,1.543199621062196947e+01,9.858285485280141813e+00
5.057011402280456203e+00,1.543317675093026331e+01,1.050858606285019192e+01
5.073014602920584259e+00,1.523511665780895719e+01,1.118710417331586093e+01
5.089017803560712316e+00,1.510343152318575477e+01,1.181103572294423998e+01
5.105021004200840373e+00,1.485711451823196683e+01,1.246379287602937858e+01
5.121024204840968430e+00,1.451994696069792035e+01,1.313844056982404318e+01
5.137027405481096487e+00,1.424345711392227720e+01,1.373160627022807212e+01
5.153030606121224544e+00,1.394720640564336378e+01,1.425438869186546675e+01
5.169033806761352601e+00,1.366688425039552612e+01,1.487575897238925648e+01
5.185037007401480658e+00,1.332359576435267989e+01,1.553206727570861112e+01
5.201040208041608714e+00,1.295711710499060487e+01,1.589447798919256094e+01
5.217043408681736771e+00,1.269630869527751393e+01,1.634373624616904763e+01
5.233046609321864828e+00,1.231681879779743483e+01,1.661890247164051715e+01
5.249049809961991997e+00,1.194461662493352350e+01,1.684198202538257760e+01
5.265053010602120054e+00,1.151640974499536263e+01,1.706079187075092563e+01
5.281056211242248111e+00,1.117124336022649800e+01,1.713685889286407260e+01
5.297059411882376168e+00,1.098315784992833777e+01,1.699483592060634862e+01
5.313062612522504224e+00,1.050210451489196473e+01,1.703222737950161658e+01
5.329065813162632281e+00,1.022263566108972022e+01,1.685476358111853301e+01
5.345069013802760338e+00,9.883359633419411594e+00,1.656569188564679962e+01
5.361072214442888395e+00,9.647413738009209538e+00,1.624495355092726356e+01
5.377075415083016452e+00,9.410591570080946155e+00,1.580973991179928184e+01
5.393078615723144509e+00,9.097951002983604596e+00,1.552567194411817120e+01
5.409081816363272566e+00,8.942683799716638404e+00,1.500641972875924424e+01
5.425085017003400623e+00,8.720861593484215746e+00,1.453282243912574856e+01
5.441088217643528679e+00,8.478677687974071731e+00,1.395512781482895726e+01
5.457091418283656736e+00,8.432974702729854499e+00,1.348607608714269190e+01
5.473094618923784793e+00,8.258772311625710572e+00,1.291154172976875181e+01
5.489097819563912850e+00,8.150133033841996166e+00,1.241812947544096346e+01
5.505101020204040907e+00,7.986214933206214894e+00,1.188821820002346108e+01
5.521104220844168964e+00,7.818289143364689053e+00,1.123274045545380240e+01
5.537107421484297021e+00,7.714885885657267295e+00,1.088190886613347175e+01
5.553110622124425078e+00,7.758065573642769053e+00,1.026965104392794714e+01
5.569113822764553134e+00,7.615706719697953098e+00,9.840246017939721312e+00
5.585117023404681191e+00,7.572857386275423153e+00,9.241649878769663928e+00
5.601120224044809248e+00,7.606961627322450958e+00,8.866864201099224019e+00
5.617123424684937305e+00,7.391077892241952441e+00,8.382803320461659879e+00
5.633126625325065362e+00,7.507626825129603887e+00,7.997775606934232506e+00
5.649129825965193419e+00,7.501576745037016103e+00,7.537414744298080116e+00
5.665133026605321476e+00,7.491171262361778105e+00,7.199778088785351748e+00
5.681136227245449533e+00,7.495532595220301353e+00,6.802515741266906169e+00
5.697139427885576701e+00,7.592048976727178378e+00,6.429801808687104270e+00
5.713142628525704758e+00,7.540612908089164179e+00,6.051112427472482125e+00
5.729145829165832815e+00,7.621531148113114718e+00,5.888622051713380934e+00
5.745149029805960872e+00,7.665717419768392382e+00,5.606002088381561776e+00
5.761152230446088929e+00,7.711240684427227876e+00,5.307860838840164242e+00
5.777155431086216986e+00,7.770630437893499831e+00,5.024984871251196417e+00
5.793158631726345043e+00,7.870628147426154797e+00,4.784803690864046111e+00
5.809161832366473099e+00,7.808677593235971770e+00,4.624127320847629008e+00
5.825165033006601156e+00,8.050988016673770176e+00,4.327816491553551081e+00
5.841168233646729213e+00,8.035886854199960183e+00,4.149781965731963673e+00
5.857171434286857270e+00,8.110110347246635598e+00,4.007912452221700228e+00
5.873174634926985327e+00,8.160689614395655767e+00,3.825905100330899256e+00
5.889177835567113384e+00,8.248426035113775256e+00,3.657515659896473093e+00
5.905181036207241441e+00,8.366531308257183497e+00,3.490444511431588737e+00
5.921184236847369498e+00,8.449015919981668787e+00,3.472587727357475451e+00
5.937187437487497554e+00,8.674586735658058601e+00,3.194167493257860091e+00
5.953190638127625611e+00,8.738215052944651617e+00,3.144601418304888707e+00
5.969193838767753668e+00,8.857121114510697168e+00,3.003035902448185634e+00
5.985197039407881725e+00,9.057581783851878399e+00,2.961567052437873659e+00
